Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
switching drop down doesn't clear the data ,PDSA-22,10192,Bug,To Do,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,29/Dec/24 11:09 AM,29/Dec/24 11:09 AM,08/Apr/25 11:07 PM,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0016n:,,,,,,,,,,,,,,To Do,29/Dec/24 11:09 AM
Box dispatch to  box accept doesn't co-relate the data . ,PDSA-21,10174,Bug,To Do,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,25/Dec/24 9:05 AM,25/Dec/24 9:05 AM,,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,25/Dec/24 9:05 AM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20241225-085142.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10161,,,,,,,,,,,,,,,,,0|i0012n:,,,,,,,,,,,,,,To Do,25/Dec/24 9:05 AM
select two jobs enters the double data of first job ,PDSA-20,10173,Bug,To Do,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,25/Dec/24 8:21 AM,25/Dec/24 8:21 AM,,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,25/Dec/24 8:21 AM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20241225-081839.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10160,,,,,,,,,,,,,,,,,0|i0012f:,,,,,,,,,,,,,,To Do,25/Dec/24 8:21 AM
QTY field should be non -negative and non-zero ,PDSA-19,10150,Bug,Done,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Highest,Done,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,21/Dec/24 4:17 PM,24/Dec/24 4:48 PM,,24/Dec/24 4:48 PM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000xb:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_261064337,Done,24/Dec/24 4:48 PM
barcode re assign error in box re-assign section ,PDSA-18,10147,Bug,Done,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,Done,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,21/Dec/24 12:22 PM,24/Dec/24 4:48 PM,,24/Dec/24 4:48 PM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000wn:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_275176357,Done,24/Dec/24 4:48 PM
net weight is taking negative value in box dispatch ,PDSA-17,10146,Bug,Done,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,Done,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,21/Dec/24 12:09 PM,24/Dec/24 4:48 PM,,24/Dec/24 4:48 PM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,21/Dec/24 12:08 PM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20241221-120539.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10144,,,,,,,,,,,,,,,,,0|i000wf:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_275948634,Done,24/Dec/24 4:48 PM
misalignment of filed in box re assign section ,PDSA-16,10133,Bug,Done,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,Done,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,15/Dec/24 3:43 PM,24/Dec/24 4:48 PM,,24/Dec/24 4:48 PM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,21/Dec/24 11:40 AM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;Screenshot_20241221-113818.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10143,,,,,,,,,,,,,,,,,0|i000tj:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_781506983,Done,24/Dec/24 4:48 PM
Saving the production box assign with all necessary data that doesn't lead to box dispatch ,PDSA-15,10121,Bug,Done,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,Done,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,14/Dec/24 1:58 PM,24/Dec/24 9:40 AM,,24/Dec/24 9:40 AM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,14/Dec/24 1:58 PM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20241214-125154.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10121,,,,,,,,,,,,,,,,,0|i000qv:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_848504050,Done,24/Dec/24 9:40 AM
De-selecting job id doesn't clear the data  ,PDSA-14,10120,Bug,To Do,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,14/Dec/24 1:47 PM,25/Dec/24 8:24 AM,,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,14/Dec/24 1:43 PM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;Record_2024-12-14-13-37-45.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10120,,,,,,,,,,,,,,,,,0|i000qn:,,,,,,,,,,,,,,To Do,25/Dec/24 8:24 AM
box adding should be after the select jobs for better interact with keyboard or scannner ,PDSA-13,10119,Bug,Done,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,Done,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,14/Dec/24 1:25 PM,24/Dec/24 4:48 PM,,24/Dec/24 4:48 PM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000qf:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_876167691,Done,24/Dec/24 4:48 PM
